protein,branch_index,rate
NP_protein,NA,0
NP_protein,NA,0.0024731872717700634
NP_protein,NA,0.0033895201277358766
NP_protein,NA,0.002993326041696146
NP_protein,NA,0.003558469646713305
NP_protein,NA,0.003730235937970565
NP_protein,NA,0
NP_protein,NA,0.003141821013837117
NP_protein,NA,0
NP_protein,NA,0.0064996438347412885
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0.003791462647597677
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0.003167224125409187
NP_protein,NA,0.0028606677608817316
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0.003520850742040655
NP_protein,NA,0.00346520057312566
NP_protein,NA,0.0031960824435546464
NP_protein,NA,0.006251044420155755
NP_protein,NA,0.005810619577257128
NP_protein,NA,0.003541533632593717
NP_protein,NA,0.0035735154605821013
NP_protein,NA,0.0030036718719614573
NP_protein,NA,0
NP_protein,NA,0.0028682011748600847
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0.0036397131940205914
NP_protein,NA,0.0071890697272967265
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0.0031398869638859556
NP_protein,NA,0.0029109829736800423
NP_protein,NA,0.006572999072333685
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0.0032927068349472015
NP_protein,NA,0.0036889261431360875
NP_protein,NA,0.0032271035715271913
NP_protein,NA,0.0034438837677666315
NP_protein,NA,0.0034160642101399154
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0.0035695807843875394
NP_protein,NA,0.006734397299287223
NP_protein,NA,0.003102681234400739
NP_protein,NA,0.003265555254099789
NP_protein,NA,0.003240591090275871
NP_protein,NA,0.0030675095254751846
NP_protein,NA,0
NP_protein,NA,0.0032688863006441393
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0.0068040167311906015
NP_protein,NA,0.003062932027338833
NP_protein,NA,0.002872263353306494
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0.009186026807550159
NP_protein,NA,0
NP_protein,NA,0.003235190817629356
NP_protein,NA,0.006559198327877508
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0.006002904013014784
NP_protein,NA,0.0033831202238780358
NP_protein,NA,0.008698190915126715
NP_protein,NA,0.006328987563278775
NP_protein,NA,0.0094763014729408665
NP_protein,NA,0.006649746660242872
NP_protein,NA,0.006079649424102429
NP_protein,NA,0.0034245538627679516
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0.008647794271383315
NP_protein,NA,0.0034072741679223866
NP_protein,NA,0
NP_protein,NA,0.006067626878046462
NP_protein,NA,0.0052833014923838436
NP_protein,NA,0.003088878722874868
NP_protein,NA,0.0036705651082233367
NP_protein,NA,0.003727880826784583
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0.0033052564459489175
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0.003594089806903379
NP_protein,NA,0.003695708790337909
NP_protein,NA,0
NP_protein,NA,0.003434013780689018
NP_protein,NA,0.003023369662065734
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0.0035001001419829726
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0.0035668216652257126
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0.0033302281878880677
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0.0034150953036323917
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0.002885006140677138
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0.003291440016738147
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0.010001185625395988
NP_protein,NA,0
NP_protein,NA,0.008084394585269272
NP_protein,NA,0.010349005638595565
NP_protein,NA,0.00643550686185322
NP_protein,NA,0.002835784297822598
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0.006351986576425554
NP_protein,NA,0.003145693713006336
NP_protein,NA,0.006128458449181627
NP_protein,NA,0
NP_protein,NA,0.005777589941525871
NP_protein,NA,0
NP_protein,NA,0.0027538542363014784
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0.0029408549365714095
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0.003704521348059662
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0.003581190941593189
NP_protein,NA,0.003476501499582893
NP_protein,NA,0.005809078302072334
NP_protein,NA,0
NP_protein,NA,0.0031021604697006335
NP_protein,NA,0.003177476473772439
NP_protein,NA,0.00327474139731085
NP_protein,NA,0.0032262401010823656
NP_protein,NA,0
NP_protein,NA,0.0034349770187882787
NP_protein,NA,0.003658902359746568
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0.003101520734337909
NP_protein,NA,0.002751100180961325
NP_protein,NA,0
NP_protein,NA,0.009468065809002111
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0.003224924629720169
NP_protein,NA,0.006137338977428722
NP_protein,NA,0.0029173920461417636
NP_protein,NA,0.009216721544218586
NP_protein,NA,0.0032806164003669484
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0.0032955080993903115
NP_protein,NA,0.0033301735018892555
NP_protein,NA,0.0034967304983034584
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0.006300643699881204
NP_protein,NA,0
NP_protein,NA,0.004591215533804118
NP_protein,NA,0.0033894063907600317
NP_protein,NA,0.003678283216249868
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0.002712883241656547
NP_protein,NA,0.0033514600657286167
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0.0034829357858315734
NP_protein,NA,0.004983208802164731
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0.0027381199460137277
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0.0057771809696145725
NP_protein,NA,0.003302484721500396
NP_protein,NA,0.003382633831979026
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0.0031981588786021645
NP_protein,NA,0.006165796488978353
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0.003279861778082101
NP_protein,NA,0.0033556022056832366
NP_protein,NA,0.0025363320798173178
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0.003346315718718321
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0.0034772301140828933
NP_protein,NA,0
NP_protein,NA,0.0031380756156731784
NP_protein,NA,0
NP_protein,NA,0.0033025598782602957
NP_protein,NA,0.0034540291288357975
NP_protein,NA,0.0031836647702375926
NP_protein,NA,0.0032840961543255014
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0.003351255283372492
NP_protein,NA,0.003301853964122624
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0.003648733961623548
NP_protein,NA,0.002850384953029303
NP_protein,NA,0.002041677319931362
NP_protein,NA,0.003140728975139216
NP_protein,NA,0.0031351040967647834
NP_protein,NA,0.006461595001795143
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0.0036953659454831045
NP_protein,NA,0.0037498963741697464
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0.003129132561062302
NP_protein,NA,0.002771113643343882
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0.00293509466281679
NP_protein,NA,0
NP_protein,NA,0.0054177966338305175
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0.0031725311843017424
NP_protein,NA,0.003465891581632788
NP_protein,NA,0.003370988745341869
NP_protein,NA,0.0031621822880514784
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0.002982322437394403
NP_protein,NA,0.0028647889819879225
NP_protein,NA,0.0030328164659262145
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0.0035174835827587116
NP_protein,NA,0
NP_protein,NA,0.00364521854968453
NP_protein,NA,0.003332801163186378
NP_protein,NA,0.003166058992975185
NP_protein,NA,0
NP_protein,NA,0.0038154045159332103
NP_protein,NA,0.00333860995592661
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0.006680053565509504
NP_protein,NA,0
NP_protein,NA,0.0033147212856428194
NP_protein,NA,0.003819199017536959
NP_protein,NA,0.004931722709596093
NP_protein,NA,0
NP_protein,NA,0.003242097077658395
NP_protein,NA,0
NP_protein,NA,0.0035682424670406545
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0.0029109066582286166
NP_protein,NA,0.0034800957093598203
NP_protein,NA,0.0033845280235413147
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0.0029165368666948257
NP_protein,NA,0.0029893294708342134
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0.0033376765707246567
NP_protein,NA,0.0030945811044284584
NP_protein,NA,0.003710289934490496
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0.0034782761417987067
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0.0034866400091803063
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0.0031572604462341606
NP_protein,NA,0.002684336223879356
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0.0034148237031678985
NP_protein,NA,0.0029801445831539215
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0.006453795325844773
NP_protein,NA,0
NP_protein,NA,0.003335840758874076
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0.003291834457960665
NP_protein,NA,0
NP_protein,NA,0.003575728053369852
NP_protein,NA,0.009848488120116156
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0.003280817936986536
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0.006254846238780359
NP_protein,NA,0
NP_protein,NA,0.0034325005483909713
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0.006198831323693242
NP_protein,NA,0.0030537055665725977
NP_protein,NA,0
NP_protein,NA,0.0034395124443611404
NP_protein,NA,0
NP_protein,NA,0.0033743020598600844
NP_protein,NA,0.006947083250791975
NP_protein,NA,0.003371207773785639
NP_protein,NA,0
NP_protein,NA,0.0032923697897637274
NP_protein,NA,0.003104274145655227
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0.0031275141371686905
NP_protein,NA,0.003187530466279039
NP_protein,NA,0.0029796845118004226
NP_protein,NA,0.0032968469577296725
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0.0032366643220141235
NP_protein,NA,0.0028250536548571807
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0.0033658286240100315
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0.003008785219218585
NP_protein,NA,0.003544890953871436
NP_protein,NA,0
NP_protein,NA,0.0029867418823548045
NP_protein,NA,0
NP_protein,NA,0.003442058203476769
NP_protein,NA,0.003802827985468585
NP_protein,NA,0.006083074597544879
NP_protein,NA,0.0033477749756428195
NP_protein,NA,0
NP_protein,NA,0.006022522704329462
NP_protein,NA,0.0034458027477085535
NP_protein,NA,0
NP_protein,NA,0.0029955248066090285
NP_protein,NA,0.0032797904606362196
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0.0033808195423587644
NP_protein,NA,0.0032878063368241817
NP_protein,NA,0.006100069501451953
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0.0032508800258975712
NP_protein,NA,0.0034328839736760823
NP_protein,NA,0.0029429639574485218
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0.005461326876977561
NP_protein,NA,0.006598863997624076
NP_protein,NA,0.0034790341600435585
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0.003615093990195354
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0.0033125471233896517
NP_protein,NA,0
NP_protein,NA,0.003284312184221225
NP_protein,NA,0.003385059213214097
NP_protein,NA,0.003055465790040919
NP_protein,NA,0
NP_protein,NA,0.00337019991469113
NP_protein,NA,0
NP_protein,NA,0.0029896941288641765
NP_protein,NA,0.003139300035682418
NP_protein,NA,0.00298243789969245
NP_protein,NA,0.003330011155155755
NP_protein,NA,0
NP_protein,NA,0.003605372342527719
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0.0032195142273633843
NP_protein,NA,0.0030672467631428194
NP_protein,NA,0.003956022791947334
NP_protein,NA,0.0035893976776293557
NP_protein,NA,0.0032463488721752904
NP_protein,NA,0.006878783250791974
NP_protein,NA,0
NP_protein,NA,0.0030995313523191656
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0.007450759014519535
NP_protein,NA,0.006509685202679514
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0.003320967781503432
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0.0033285596075448786
NP_protein,NA,0.003536750847654435
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0.0036993315921422915
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0.0033724120820762937
NP_protein,NA,0
NP_protein,NA,0.0036339728096475713
NP_protein,NA,0.003390761508967793
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0.003137665281747624
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0.003991743372778511
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0.0034536467060572863
NP_protein,NA,0.003040543873676082
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0.0035656221685850054
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0.003150708062403643
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0.00302837882593717
NP_protein,NA,0
NP_protein,NA,0.006828428866024287
NP_protein,NA,0
